"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"Butyrate.kinase..2.7.2.7.",0.00125443304867295,1,0.857142857142857,-0.691765010332994,1e-06,0.75,-3.85699018130356,0.331219840900895,0.43964230764559
"ADP.ribose.diphosphatase..3.6.1.13.",0.00175445403478736,1,0.142857142857143,-4.78597035926026,0.704985332570002,0.375,-3.39526413299392,0.454559392810813,0.42660884675079
"D.galactose.1.dehydrogenase..1.1.1.48.",0.00193996255968494,1,1,-5.88887795833288,1e-06,0.5,-4.68151312469776,0.296728264086564,0.423054407436377
"Photosystem.I..1.97.1.12.",0.00309189598624678,1,0.571428571428571,-2.05849918184216,1.28720998241378,0.375,-3.88937213938411,0.63868408772725,0.564093512274766
"Cadmium.exporting.ATPase..3.6.3.3.",0.00387979357756253,1,0.142857142857143,-2.08033993659581,0.267285320494431,0,-3.13317701112763,0.655173483342269,0.381400733738892
"diphosphate.specific...2.5.1.31.",0.00426325235344297,1,0.142857142857143,-4.10444774421868,0.79525990647668,0.25,-2.8887301130659,0.479101364752187,0.449303282070192
"Plastoquinol..plastocyanin.reductase..1.10.9.1.",0.0062099465145032,1,0.571428571428571,-4.21093518515327,0.298519418538328,1,-5.74300318780948,1e-06,0.443873674184535
"Cyclomaltodextrinase..3.2.1.54.",0.00722533179205312,1,0.428571428571429,-4.76446716014891,0.341670114428231,0.5,-3.34350931923375,0.881276272113737,0.45720613310458
"X4.hydroxy.2.oxoglutarate.aldolase..4.1.3.16.",0.00726771393088908,1,0.857142857142857,-5.88611937817095,1e-06,0.75,-3.4134270761952,0.0194844101200907,0.4328910684584
"Erythrose.4.phosphate.dehydrogenase..1.2.1.72.",0.0081155203837984,1,0.571428571428571,-4.93510635034279,0.467692624209672,0.625,-3.4220540885822,0.238690851517073,0.393938865914276
"Rhamnulose.1.phosphate.aldolase..4.1.2.19.",0.00831882848561769,1,0.428571428571429,-4.85359140230352,0.956604816587976,0.625,-3.21762998203292,0.733200374466388,0.536314868867243
"Arogenate.dehydrogenase..1.3.1.43.",0.0101116376599056,1,0.714285714285714,-5.34285569618396,0.124609397875004,0.875,-2.99471788516985,1e-06,0.433826490450197
"Carbamoyl.phosphate.synthase..ammonia...6.3.4.16.",0.0105907958549801,1,0.428571428571429,-4.61263467604074,0.665568157148164,0.625,-3.1538463069325,0.688015281404699,0.45981686473288
"Butyrate..acetoacetate.CoA.transferase..2.8.3.9.",0.0110160493601474,1,0.714285714285714,-5.65854361229595,0.321840734567866,0.875,-3.32911896975794,1e-06,0.439264064361776
"Rhodopsin.kinase..2.7.11.14.",0.011958264153305,1,0.857142857142857,-5.88611937817095,1e-06,0.75,-3.51809799320095,0.740171247053877,0.466699082910131
