"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"X5.formyltetrahydrofolate.cyclo.ligase.activity..GO.0030272.",0.00150088075459969,1,0.142857142857143,-6.96029861895012,0.449634470393607,0.125,-5.63671736989754,0.71791796114605,0.371527214942204
"ubiquitin.activating.enzyme.activity..GO.0004839.",0.00189231881228598,1,0.714285714285714,-9.25643112256852,0.43380555547003,0.875,-4.68202749011973,1e-06,0.326931891682425
"inorganic.anion.transmembrane.transporter.activity..GO.0015103.",0.00213475264999535,1,0.285714285714286,-8.3476733180647,0.551252848124186,0.375,-7.01314008605445,0.447690833741624,0.286910845347131
"mannitol.dehydrogenase.activity..GO.0046029.",0.00226537211600766,1,0.571428571428571,-7.65498137058514,0.176565145926658,1,-9.16429643347478,1e-06,0.298849868491861
"sodium.proton.antiporter.activity..GO.0015385.",0.00262966820799624,1,0.142857142857143,-7.45790981464298,0.74498050266315,0.25,-5.97406890840035,0.71126333307157,0.488186705407361
"magnesium.protoporphyrin.IX.monomethyl.ester..oxidative..cyclase.activity..GO.0048529.",0.00356022667155105,1,0.571428571428571,-8.55757640104511,0.980115579463327,0.75,-5.3379422359968,0.927603529379846,0.626212471877094
"X.cellulose.1.4.beta.cellobiosidase.activity..GO.0016162..",0.0035805049074271,1,0.714285714285714,-8.62395233135265,0.460654528980792,0.875,-4.68202749011973,1e-06,0.332291209626782
"glucosidase.activity..GO.0015926.",0.0038708059219875,1,0.285714285714286,-7.35875251838161,0.279675795314889,0.5,-6.04832903387775,0.670875142056762,0.280497197048326
"D.amino.acid.oxidase.activity..GO.0003884.",0.00477769947620249,1,0.714285714285714,-8.93069918134191,0.894460084450823,0.75,-5.79890960746345,0.704486885847826,0.469467069381644
"X.di.trans.poly.cis.decaprenylcistransferase.activity..GO.0008834..",0.0064439831184072,1,0.142857142857143,-7.54303902647137,1.04452954823659,0.25,-5.5635632780271,1.30833751320898,1.13424114061531
"cytidylate.kinase.activity..GO.0004127.",0.00648850970165585,1,0.142857142857143,-6.96426900584812,0.60948659303906,0.375,-5.88647217377457,0.381362448724972,0.297725712074481
"bacterial.type.RNA.polymerase.core.promoter.proximal.region.sequence.specific.DNA.binding..GO.0000986.",0.00649997081435536,1,0.571428571428571,-8.93702754508769,0.632573763209464,0.75,-6.88840827270054,0.143887203970201,0.323684207092961
"X5..3..exoribonuclease.activity..GO.0004534.",0.00672219312054961,1,0.571428571428571,-8.55757640104511,0.289601805219727,0.75,-6.84510775717275,0.205123380287351,0.229380152921624
"structural.constituent.of.cell.wall..GO.0005199.",0.00749936165504398,1,0.428571428571429,-7.68355532315446,0.586728515478325,1,-9.16429643347478,1e-06,0.421372290009135
"single.stranded.RNA.binding..GO.0003727.",0.00813941804561573,1,0.142857142857143,-7.48174675905027,0.602819631986534,0,-6.2143709245758,0.938809556380349,0.598364708501844
"X4.hydroxy.2.oxoglutarate.aldolase.activity..GO.0008700.",0.00830811493569322,1,0.428571428571429,-8.14198811264704,0.43586843488148,0.5,-6.2444947917176,1.20312951983279,0.6528094376073
"dephospho.CoA.kinase.activity..GO.0004140.",0.00871949946881011,1,0.285714285714286,-7.72498852426069,0.383288404284315,0.125,-6.29271032893354,1.05860175482341,0.637063067363128
"toxic.substance.binding..GO.0015643.",0.00949000592026786,1,0.428571428571429,-8.03440159058973,1.0119786459231,0.75,-5.64601166365046,0.632905806770002,0.634895515177506
"molybdopterin.synthase.activity..GO.0030366.",0.0110460863397764,1,0.428571428571429,-8.1320305210783,0.425151074323432,0.625,-6.71768038675925,0.691915256932061,0.327384539638443
"CoA.disulfide.reductase.activity..GO.0050451.",0.0116322143971168,1,0.428571428571429,-8.45822750825498,1.17796295696796,0.875,-4.89531449636088,1e-06,0.839309150927234
"C.22.sterol.desaturase.activity..GO.0000249.",0.0119317067479579,1,0.714285714285714,-8.18939143483729,0.96261909165082,0.875,-4.68202749011973,1e-06,0.491725718990804
"undecaprenyl.phosphate.galactose.phosphotransferase.activity..GO.0047360.",0.012171261844716,1,0.285714285714286,-7.46059706255974,0.387539056499328,0.375,-6.18454359718339,0.923813443282914,0.460871000491761
"chlorophyllide.a.oxygenase..overall..activity..GO.0010277.",0.0130335563162556,1,0.857142857142857,-9.56317797255777,1e-06,0.75,-6.49200443611385,0.704486885847826,0.395691441664093
"X.cob.I.yrinic.acid.a.c.diamide.adenosyltransferase.activity..GO.0008817..",0.0153324693504267,1,0.428571428571429,-6.9237599928173,0.578728575528866,0.75,-8.58869484129432,0.73969816560122,0.378121374816501
"erythrose.4.phosphate.dehydrogenase.activity..GO.0048001.",0.0156641909725642,1,0.714285714285714,-8.03486043215129,0.607761237445179,0.625,-6.47432386227062,0.271316487507715,0.276715894064471
"D.sedoheptulose.7.phosphate.isomerase.activity..GO.0008968.",0.015797195645599,1,0.285714285714286,-7.54985307782377,0.478040606046085,0.375,-5.98040538759321,1.28873868896256,0.769467499055379
"benzoate.CoA.ligase.activity..GO.0018858.",0.015863502799235,1,0.571428571428571,-7.82383827662919,0.0236527914000332,0.75,-9.13796608405081,0.0370886753265323,0.197391547430697
"DNA.7.methylguanine.glycosylase.activity..GO.0043916.",0.0164065548656221,1,0.714285714285714,-9.25643112256852,0.43380555547003,0.75,-7.4910728829283,0.0159995626285464,0.267330845848104
"DNA.7.methyladenine.glycosylase.activity..GO.0052821.",0.0164065548656221,1,0.714285714285714,-9.25643112256852,0.43380555547003,0.75,-7.4910728829283,0.0159995626285464,0.267330845848104
"DNA.3.methylguanine.glycosylase.activity..GO.0052822.",0.0164065548656221,1,0.714285714285714,-9.25643112256852,0.43380555547003,0.75,-7.4910728829283,0.0159995626285464,0.267330845848104
"organic.anion.transmembrane.transporter.activity..GO.0008514.",0.0166735773952005,1,0.285714285714286,-8.20904739506981,0.802588192691205,0.625,-6.69801977033049,0.696602902483908,0.508795393928729
"X4.deoxy.L.threo.5.hexosulose.uronate.ketol.isomerase.activity..GO.0008697.",0.0170010847421592,1,0.285714285714286,-7.93180257494399,0.676463777795686,0.5,-6.71438757287824,0.630608611459642,0.410285810593231
"ribosomal.large.subunit.binding..GO.0043023.",0.0172004918332849,1,0.142857142857143,-5.53424986471085,0.350574826195515,0.125,-4.77737386450352,0.549693820768069,0.255803531607882
"carbohydrate.transporting.ATPase.activity..GO.0043211.",0.017577953655275,1,0.428571428571429,-8.03439573565168,0.440254039690483,0.25,-6.3822783666278,1.26029864472393,0.853584708183784
"X6.aminohexanoate.dimer.hydrolase.activity..GO.0019875.",0.0178273236234234,1,1,-9.56324822934567,1e-06,0.625,-7.78133828185624,0.598915818518236,0.445032305883053
"alpha.N.acetylglucosaminidase.activity..GO.0004561.",0.0184699267791195,1,0.428571428571429,-8.25867320061134,1.17742388155108,0.75,-6.04370031667187,0.0704891200652452,0.727272686446131
"anthranilate.phosphoribosyltransferase.activity..GO.0004048.",0.0193929883021509,1,0.142857142857143,-6.14558075903606,0.311430511142363,0.375,-5.37647658121445,0.509287405597877,0.22427998087827
"arabinose.5.phosphate.isomerase.activity..GO.0019146.",0.0196106942658044,1,0.142857142857143,-6.71465964178403,0.486327886883064,0.125,-5.82600093425535,0.696276071378311,0.370704297348774
"phosphatidylinositol.alpha.mannosyltransferase.activity..GO.0043750.",0.0204787960569408,1,0.571428571428571,-8.19002675931808,0.352432645165841,1,-9.16429643347478,1e-06,0.34037302054586
"adenosylhomocysteine.nucleosidase.activity..GO.0008782.",0.0211201949107876,1,0.428571428571429,-7.8828631155083,0.896319667747012,0.5,-6.57056275126942,0.44786163586251,0.452346388198997
"methylthioadenosine.nucleosidase.activity..GO.0008930.",0.0211201949107876,1,0.428571428571429,-7.8828631155083,0.896319667747012,0.5,-6.57056275126942,0.44786163586251,0.452346388198997
"glutathione.peroxidase.activity..GO.0004602.",0.0220185661215711,1,0.142857142857143,-6.80311891372852,1.04540278168291,0.125,-5.72734907327071,0.498486411840276,0.568472565008765
"NADPH.dehydrogenase..quinone..activity..GO.0008753.",0.0223194292083721,1,0.428571428571429,-7.92252921741939,0.67916587522243,0.75,-5.48954227591159,2.1221824685717,0.957656008730553
"carboxyl.O.methyltransferase.activity..GO.0010340.",0.022462517646871,1,0.142857142857143,-7.64100015269539,0.769782482971081,0.25,-6.35708243011592,1.07700880022074,0.744703037038516
