"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"nuclear.migration..GO.0007097.",0.00247592847418392,1,0.285714285714286,-6.87164281506249,0.527475689621407,1,-8.19560956728878,1e-06,0.364527999818303
"pyrimidine.nucleotide.metabolic.process..GO.0006220.",0.00273733639288107,1,0.142857142857143,-6.49991847370973,0.364483183388043,0.375,-5.48482938524166,0.399045333941159,0.200793560156415
"lactate.oxidation..GO.0019516.",0.00429566224597938,1,0.428571428571429,-6.51890947752969,0.604654794866845,0.5,-5.01539050043892,0.481453402143348,0.319536329277302
"pectin.catabolic.process..GO.0045490.",0.00484666646333033,1,0.285714285714286,-6.60787625020773,0.704093888519193,0.375,-5.35454261475524,0.340069254089594,0.32081165958116
"ribosomal.small.subunit.export.from.nucleus..GO.0000056.",0.00490456134926886,1,0.428571428571429,-7.28649293212813,0.309162373090705,1,-8.19560956728878,1e-06,0.275888765720151
"gamma.aminobutyric.acid.catabolic.process..GO.0009450.",0.00510461217838488,1,0.285714285714286,-5.07750509422537,0.472153922762986,0.25,-4.15977226092925,0.274636441723576,0.198144070208652
"sphingomyelin.catabolic.process..GO.0006685.",0.00531728974489974,1,0.571428571428571,-6.50102778645367,0.30511873728007,1,-8.19560956728878,1e-06,0.317554988861054
"single.species.biofilm.formation..GO.0044010.",0.00595209683110902,1,0.571428571428571,-7.99844006870848,0.560993495200086,0.75,-5.98623301145715,0.141798270156498,0.289886600430167
"D.tagatose.6.phosphate.catabolic.process..GO.2001059.",0.00696115954603986,1,0.285714285714286,-7.23725309880203,1.16590340903604,0.375,-5.32255497453424,0.846900256313293,0.843706088766606
"methylglyoxal.catabolic.process.to.D.lactate..GO.0019243.",0.00705930674432705,1,0.714285714285714,-7.71011773253342,0.361453712235675,0.75,-5.54270000695038,0.211014459388241,0.254467090820864
"photosynthetic.electron.transport.in.photosystem.I..GO.0009773.",0.00774811060735721,1,0.714285714285714,-6.26068428321021,0.134860230817549,0.875,-3.17778950050874,1e-06,0.27763106406136
"D.glycero.D.manno.heptose.7.phosphate.biosynthetic.process..GO.2001061.",0.00776694527087431,1,0.142857142857143,-6.65262416056935,0.402735947292365,0.375,-4.90716350169311,1.42034094188127,0.821627923111115
"positive.regulation.of.proteolysis..GO.0045862.",0.0089801759473725,1,0.285714285714286,-7.48779221368643,0.83280588239427,0.5,-5.70387888204239,1.00810704510489,0.683102245355033
"teichoic.acid.biosynthetic.process..GO.0019350.",0.00922012967096187,1,0.714285714285714,-7.92386800405594,0.0591651792875981,0.875,-5.00367233334101,1e-06,0.274141024218789
"spliceosome.conformational.change.to.release.U4..or.U4atac..and.U1..or.U11...GO.0000388.",0.00947604867780209,1,0.285714285714286,-6.24159758111967,0.423327440791911,0.875,-8.19533381936263,1e-06,0.259005595252166
"adenylate.cyclase.activating.G.protein.coupled.receptor.signaling.pathway..GO.0007189.",0.0100260811681706,1,0.571428571428571,-7.49718072398374,0.0558608632471416,0.75,-6.05611395765724,0.0429716882888776,0.186563999136903
"aspartate.family.amino.acid.biosynthetic.process..GO.0009067.",0.0124050253763056,1,0.142857142857143,-5.62792135773608,0.656747103242048,0.125,-4.45930779768754,0.851245407377247,0.538733806960889
"metal.ion.transport..GO.0030001.",0.0125139152245766,1,0.142857142857143,-3.879137627742,0.173241996696316,0.375,-5.12286389990007,1.08608501448962,0.492990589666413
"antibiotic.transport..GO.0042891.",0.0125204209119163,1,0.428571428571429,-7.09231167326418,0.528657936689775,1,-8.19560956728878,1e-06,0.381816763603389
"response.to.copper.ion..GO.0046688.",0.0140158725836534,1,0.428571428571429,-7.09450621823725,0.919967396336462,0.125,-5.20006447385312,1.28458012913671,1.11318964046546
"photosynthesis..light.reaction..GO.0019684.",0.014525810996216,1,0.571428571428571,-6.80406479175575,0.42001953638644,1,-8.19560956728878,1e-06,0.357153436334866
"fatty.acid.beta.oxidation.using.acyl.CoA.dehydrogenase..GO.0033539.",0.0152991332919202,1,0.142857142857143,-5.44699710866553,0.815547481395468,0.25,-4.26267637473184,0.734032305701521,0.542825445836459
"photosynthetic.electron.transport.chain..GO.0009767.",0.0164612388411761,1,0.571428571428571,-6.80111252597019,1.55670586140786,0.875,-2.48478022245194,1e-06,1.15141730546379
"response.to.wounding..GO.0009611.",0.0166106084405472,1,0.714285714285714,-7.46556480399614,0.0156036439801954,0.875,-4.99883153993592,1e-06,0.273367047300182
"protein.initiator.methionine.removal.involved.in.protein.maturation..GO.0035551.",0.0176776627807091,1,0.714285714285714,-8.01480805129257,0.792350893348635,0.875,-5.00367233334101,1e-06,0.422499078862837
"protein.localization.to.kinetochore..GO.0034501.",0.0177363703432243,1,0.714285714285714,-7.46556480399614,1.56909814271708,0.875,-3.17778950050874,1e-06,0.858374707885789
"proteasome.localization..GO.0031144.",0.0182017885959984,1,0.714285714285714,-7.50747196274272,0.0748693162401311,0.75,-5.54508593159317,0.765674453501431,0.334473120763738
"nucleus.associated.proteasomal.ubiquitin.dependent.protein.catabolic.process..GO.0071630.",0.0182017885959984,1,0.714285714285714,-7.50747196274272,0.0748693162401311,0.75,-5.54508593159317,0.765674453501431,0.334473120763738
"regulation.of.translational.elongation..GO.0006448.",0.0185566818857212,1,0.571428571428571,-7.53640484438379,0.312831649201182,0.375,-5.44637123499797,1.40675821086099,1.00581507145614
"purine.nucleotide.metabolic.process..GO.0006163.",0.0195407263037057,1,0.142857142857143,-4.4716254753211,0.181467367362749,0.25,-3.92467927018956,0.270054343292104,0.127151131216914
"inositol.catabolic.process..GO.0019310.",0.0198339192475583,1,0.285714285714286,-6.19763748339546,0.794221798955587,0.25,-4.68734490449355,1.17570635648878,0.86701755922509
"nucleoside.catabolic.process..GO.0009164.",0.0200601588674318,1,0.428571428571429,-6.94296404922812,0.910082906537626,0.5,-5.60128196960384,0.43755153115979,0.457119483044108
"phenol.containing.compound.metabolic.process..GO.0018958.",0.0225367196605437,1,0.571428571428571,-7.80271619069027,0.213970897239414,0.75,-6.44787292448743,0.51105915578366,0.242081132330205
"cellular.response.to.heat..GO.0034605.",0.0228770583778941,1,0.142857142857143,-6.31351623471042,0.694986563597828,0,-5.13235418948009,1.05505188846343,0.746775803983898
"coenzyme.M.biosynthetic.process..GO.0019295.",0.0230699242266211,1,0.714285714285714,-8.27039442229946,0.43089718111296,0.75,-6.65242711179432,0.0937772815872935,0.258170999020637
"acetoin.catabolic.process..GO.0045150.",0.0246595145446395,1,0.428571428571429,-6.91602961518827,0.993130146946369,0.25,-4.95458799236606,1.50195516704066,1.37296049589794
"L.arabinose.catabolic.process..GO.0019572.",0.0257282084833274,1,0.428571428571429,-7.11873465206657,0.638087968905386,0.75,-5.55210236747624,0.797660646277509,0.41728474890311
"vacuolar.acidification..GO.0007035.",0.0259437042864317,1,0.857142857142857,-3.98893774264368,1e-06,0.75,-6.41748735229933,0.554030844072538,0.346250267470026
"translational.elongation..GO.0006414.",0.0266487461687143,1,0.571428571428571,-6.50203946244775,1.67058321145167,0.875,-2.48478022245194,1e-06,1.29254690006568
"poly.A...mRNA.export.from.nucleus..GO.0016973.",0.0272609114947977,1,0.714285714285714,-7.66828163304905,0.302288532948077,0.75,-4.60175894298894,2.01379689796035,1.01703098557829
"peptidyl.lysine.modification.to.peptidyl.hypusine..GO.0008612.",0.0277911771103111,1,0.142857142857143,-5.51895774404783,0.244729330010542,0,-4.76075306841349,0.718750045567372,0.333097522151986
"protein.insertion.into.membrane..GO.0051205.",0.0287823584532784,1,0.142857142857143,-3.11772271229405,0.118764701343825,0.125,-2.55645064528331,0.451548096798131,0.172016051461499
"X.1..6..beta.D.glucan.biosynthetic.process..GO.0006078.",0.0293623020395053,1,0.857142857142857,-7.96570410354032,1e-06,0.75,-5.65610950560029,0.52272003281967,0.338238767411299
"Actinobacterium.type.cell.wall.biogenesis..GO.0071766.",0.0304705673432334,1,0.571428571428571,-7.80271619069027,0.213970897239414,0.625,-5.90933035203121,1.43789228819485,0.745925238200575
"protein.ubiquitination..GO.0016567.",0.0316717902833415,1,0.428571428571429,-7.29200965336294,1.0276496359399,0.625,-5.73189306757711,0.634560998543282,0.624213422665552
"CVT.pathway..GO.0032258.",0.0319485001829222,1,0.428571428571429,-6.99316352698115,0.6397124744501,0.625,-4.75439650480317,2.02709183621333,1.29090969963001
"galactitol.metabolic.process..GO.0019402.",0.032970406157116,1,0.571428571428571,-7.32691390296643,1.31662638853975,0.5,-5.36890263751015,1.09773371804443,1.00292541933319
"translational.frameshifting..GO.0006452.",0.0345834109473293,1,0.857142857142857,-8.57508474105861,1e-06,0.625,-6.10046192266424,0.952414772605761,0.569165819026929
"positive.regulation.of.translational.termination..GO.0045905.",0.0345834109473293,1,0.857142857142857,-8.57508474105861,1e-06,0.625,-6.10046192266424,0.952414772605761,0.569165819026929
"thiamine.biosynthetic.process..GO.0009228.",0.0356334986956092,1,0.142857142857143,-2.83707584861407,0.06291746813029,0,-2.4265727699305,0.262754662598029,0.108705291421777
"nucleoside.diphosphate.metabolic.process..GO.0009132.",0.0385452373973219,1,0.857142857142857,-8.57508474105861,1e-06,0.75,-6.34760640609925,0.652857425940159,0.374593222441673
"peptidoglycan.metabolic.process..GO.0000270.",0.0396567505705501,1,0.142857142857143,-4.23190108514622,0.317904117818039,0.125,-3.37429556925044,0.90605827183227,0.463190667168047
"regulation.of.cell.division..GO.0051302.",0.0402829222035836,1,0.714285714285714,-6.72182043115334,0.205823646711919,0.125,-5.18010220258504,0.970633508381291,0.670567003590085
"bacterial.type.flagellum.organization..GO.0044781.",0.0403288747461153,1,0.142857142857143,-4.93186912507264,0.709574551743458,0.25,-4.00812131921489,0.758341495623675,0.495376394392608
"lysine.biosynthetic.process.via.aminoadipic.acid..GO.0019878.",0.040414464900556,1,0.428571428571429,-7.54016097640305,0.733664568541732,0.25,-5.76555581570739,1.61369111568781,1.40833792687379
"glycogen.metabolic.process..GO.0005977.",0.040715958829741,1,0.571428571428571,-7.13101855911945,0.672453996671331,0.625,-4.75439650480317,1.97542244166539,1.36776492231457
"transcription.antitermination..GO.0031564.",0.0439083609592571,1,0.285714285714286,-6.00874347684942,1.28950417001043,0.25,-4.89010899479308,0.300956646444558,0.676127589283387
"mature.ribosome.assembly..GO.0042256.",0.0442501561704725,1,0.285714285714286,-6.26604039902957,0.414826307547651,0.5,-5.02493107263966,1.26555999154736,0.65078974542181
"cellular.homeostasis..GO.0019725.",0.0446353715181259,1,0.714285714285714,-6.91208715969381,0.0759582925083788,0.75,-8.1536430182018,0.0589596964278535,0.222607680033203
"regulation.of.DNA.repair..GO.0006282.",0.0451013724443755,1,0.285714285714286,-6.71181827128139,1.10080579817438,0.25,-5.6909730368326,0.440117213033811,0.570579696985217
"D.xylose.catabolic.process..GO.0042843.",0.0453766471011617,1,0.428571428571429,-7.26557488238594,0.755690795488383,1,-8.19560956728878,1e-06,0.549776742838077
"defense.response.to.bacterium..GO.0042742.",0.0464699451764562,1,0.285714285714286,-5.34739543289489,1.04920473722693,0.375,-6.37923247054219,0.318145825653764,0.531604608147987
"cardiolipin.biosynthetic.process..GO.0032049.",0.0473956972148893,1,0.142857142857143,-5.14531348808786,0.816106437773706,0,-4.18361133546408,0.916836189312034,0.681501499964486
"light.independent.bacteriochlorophyll.biosynthetic.process..GO.0036070.",0.0478995481823603,1,0.571428571428571,-7.86334288884802,0.618655845683406,0.625,-6.26917810416473,1.21178793434385,0.673187812504404
"G.protein.coupled.receptor.signaling.pathway..GO.0007186.",0.0484427433895711,1,0.428571428571429,-7.54157745034471,0.818100662057997,0.75,-5.79247404999931,1.43793313284883,0.724960515529088
"cellular.calcium.ion.homeostasis..GO.0006874.",0.0495004197487399,1,0.857142857142857,-7.96570410354032,1e-06,0.625,-5.87022091660425,0.863624247510315,0.507245287724044
"meiotic.chromosome.segregation..GO.0045132.",0.0495111070075397,1,0.571428571428571,-6.50102778645367,0.537219193401268,0.875,-8.19533381936263,1e-06,0.331659504220834
