"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"PF13148",5.8796401966466e-05,1,0.285714285714286,-6.28061666036855,0.411742813483346,1,-9.02761873516089,1e-06,0.349384771841012
"Lethal.giant.larvae.Lgl..like..C.terminal..PF08596.",6.78983136281945e-05,1,0.285714285714286,-7.30460050936969,0.267871325866984,1,-9.02761873516089,1e-06,0.291469514883999
"X2.oxoisovalerate.dehydrogenase.E1.alpha.subunit.N.terminal..PF12573.",0.000726640801813309,1,0.285714285714286,-7.66616244922946,0.46808020512838,0.375,-6.05755913493559,0.535621661222017,0.31525817065265
"SdiA.regulated..PF06977.",0.000829472541357477,1,0.285714285714286,-7.84125159801124,0.531480322023696,0.625,-5.52609202630004,0.872734067788831,0.444424351109313
"Bacterial.protein.of.unknown.function..DUF881...PF05949.",0.000897528998545459,1,0.571428571428571,-8.15035948664816,0.141175253984463,0.875,-4.18961533312359,1e-06,0.299171469543263
"Rad51..PF08423.",0.0012079814176023,1,0.285714285714286,-8.02450081777261,0.470587649623447,0.25,-6.5910066468594,0.565996428246281,0.326890935502348
"PhnA.protein..PF03831.",0.00188029030179944,1,0.142857142857143,-7.40493415657263,0.208573808179005,0.25,-6.2984294963618,0.554612803400335,0.249892401741385
"Zona.pellucida.like.domain..PF00100.",0.00199889510477058,1,0.857142857142857,-1.60937299107008,1e-06,0.75,-6.09249522491038,0.108014779167638,0.356182031861655
"X5.formyltetrahydrofolate.cyclo.ligase.family..PF01812.",0.00216036024495312,1,0.142857142857143,-6.75462073102625,0.424031449687393,0.125,-5.57406798145692,0.612701829251595,0.327574312686953
"PF11489",0.00263822286477377,1,0.571428571428571,-7.99700934277136,0.353946526570405,0.875,-4.61837579242705,1e-06,0.335794304937382
"Transposase.DNA.binding..PF14706.",0.00300731969164873,1,1,-9.41914156157452,1e-06,0.625,-6.63536654254457,0.375634570212288,0.413099541680428
"PF12752",0.00364881520586327,1,0.857142857142857,-9.41906041579715,1e-06,0.375,-6.26332007608196,0.730795081256066,0.492389545705765
"PF11387",0.00375451925069492,1,0.714285714285714,-9.09980653770029,0.451493164244785,0.875,-5.02382089353276,1e-06,0.39661422967809
"Cytidylate.kinase..PF02224.",0.0038034015645562,1,0.142857142857143,-6.85822796573902,0.593928994940779,0.375,-5.65883410699024,0.378172847131382,0.314991594534879
"Laminin.G.domain..PF00054.",0.00386162638338121,1,0.857142857142857,-1.60937299107008,1e-06,0.75,-5.51994906221115,0.27854207952195,0.370050515564932
"Domain.of.unknown.function..DUF309...PF03745.",0.00393661023973753,1,0.714285714285714,-8.54630331740676,0.331278596711513,0.875,-4.61837579242705,1e-06,0.376816566619028
"PF04959",0.00438988292503166,1,0.714285714285714,-6.45885507299456,0.292020760325148,0.75,-8.97568471434382,0.073276053621813,0.307998791795049
"Domain.of.unknown.function..DUF3546...PF12066.",0.00438988292503166,1,0.714285714285714,-6.45885507299456,0.292020760325148,0.75,-8.97568471434382,0.073276053621813,0.307998791795049
"PF02537",0.00449573253322107,1,0.285714285714286,-8.02450081777261,0.777882190899031,0.25,-6.63971482265988,0.553295005847779,0.441647910906079
"PF10062",0.0049509680799952,1,0.714285714285714,-9.09980653770029,0.451493164244785,0.875,-5.28814759618346,1e-06,0.39661422967809
"Chromatin.associated.protein.KTI12..PF08433.",0.0049560611217134,1,0.571428571428571,-7.83328818854847,0.207498937997653,1,-9.02761873516089,1e-06,0.371844271559253
"Wyosine.base.formation..PF08608.",0.00499484163118227,1,0.428571428571429,-7.23938572425343,0.612087955057344,1,-9.02761873516089,1e-06,0.487607489777633
"PhnA.Zinc.Ribbon..PF08274.",0.00499616230921947,1,0.285714285714286,-7.88587341052116,0.560941139382348,0.375,-6.49582480540812,0.679246105429395,0.407162518327222
"Complement.Clr.like.EGF.like..PF12662.",0.00507821406057053,1,0.857142857142857,-1.60937299107008,1e-06,0.75,-6.27154682612382,1.08362587135891,0.600774860588093
"PF14538",0.00522962345934496,1,0.428571428571429,-8.08068333602536,1.05069000326226,0.25,-6.29753967963226,0.731777414002922,0.652647944045914
"Eukaryotic.porin..PF01459.",0.00545516213745073,1,0.428571428571429,-7.62381892139774,0.495873824165699,1,-9.02761873516089,1e-06,0.420464307779814
"Immunoglobulin.I.set.domain..PF07679.",0.00613742592450531,1,0.857142857142857,-0.916266385868725,1e-06,0.125,-6.61743805881615,1.88025193889352,2.34729018795224
"PF10076",0.00653415285546346,1,0.714285714285714,-8.20957568509472,0.80748338115298,0.75,-4.95903025320786,1.08811701507539,0.611379230560266
"Toluene.tolerance..Ttg2..PF05494.",0.00664810723254344,1,0.142857142857143,-6.84958415484943,0.485915045745736,0,-5.8362967040149,0.634963396759018,0.360825381580375
"Phenolic.acid.decarboxylase..PAD...PF05870.",0.0068835046511166,1,0.571428571428571,-8.01520895910724,0.784161248735804,0.875,-4.6399998826498,1e-06,0.506008431589658
"PF09184",0.00696123129628204,1,0.714285714285714,-8.52882956319158,1.25897654539777,0.75,-5.15598424485811,0.793266060449264,0.677128817861912
"Demethylmenaquinone.methyltransferase..PF03737.",0.00732421454746228,1,0.142857142857143,-6.61010286056296,0.618486269117742,0.125,-5.64270006913695,0.413409519453229,0.313112035985818
"CopC.domain..PF04234.",0.00752545705279619,1,0.428571428571429,-7.84633510695614,0.936695023929797,0.125,-6.2100016134578,0.849621661383487,0.677845489747971
"GH3.auxin.responsive.promoter..PF03321.",0.00769356625130086,1,0.142857142857143,-6.36180437167586,0.523769226828249,0.25,-5.27968930329711,0.619047509719274,0.361305571668688
"PF13946",0.00780773550513365,1,0.428571428571429,-7.786508428012,0.78620081499092,0.375,-6.07768606514943,0.869917777370164,0.610304074184721
"PF13448",0.0079978075388322,1,0.714285714285714,-9.09980653770029,0.451493164244785,0.875,-5.71690805548692,1e-06,0.39661422967809
"MltA.specific.insert.domain..PF03562.",0.0080422763801929,1,0.142857142857143,-6.49152319013966,0.54765597285862,0.25,-5.45530162922218,0.537030067348488,0.336138304270469
"PF05944",0.00805237888215431,1,0.428571428571429,-8.18204623168105,0.456469978257617,0.375,-6.23988704161439,1.25129091679055,0.796914878580008
"Divalent.cation.transporter..PF01769.",0.00879962809096257,1,0.142857142857143,-5.13992664360677,0.371144002225139,0.25,-6.19139717573927,0.711838588730658,0.356545931582189
"PF06120",0.00883107709470613,1,0.428571428571429,-8.12097634456926,0.12938486920335,0.5,-6.80908853807626,0.689000180942948,0.32355735025518
"Putative.carbohydrate.binding.domain..PF06204.",0.0088426903846134,1,0.142857142857143,-5.70161027154046,0.593681950107686,0.5,-4.4119105649713,0.667344378976661,0.406670386283088
"PF12417",0.00886226540320043,1,0.428571428571429,-7.56614694195001,0.615605321506692,1,-9.02761873516089,1e-06,0.489859268419908
"Menaquinone.biosynthesis..PF02621.",0.00903442503828041,1,0.571428571428571,-8.22804487783848,0.152882793555282,0.25,-6.43530699397898,1.01158613323009,0.636521212245101
"Vacuolar.protein.sorting.associated.protein.26..PF03643.",0.0090463649631457,1,0.857142857142857,-9.41906041579715,1e-06,0.625,-5.78710721450144,1.03305790897543,0.663244913524707
"Glycosyltransferase.36.associated.family..PF06205.",0.00904973235599401,1,0.142857142857143,-5.84754696889121,0.753408283669126,0.5,-4.42188444490893,0.67534727163607,0.500948811541174
"X60s.Acidic.ribosomal.protein..PF00428.",0.00937013261236616,1,0.714285714285714,-8.20957568509472,0.80748338115298,0.875,-4.5950604342293,1e-06,0.490906780143303
"PF05091",0.00937013261236616,1,0.714285714285714,-8.20957568509472,0.80748338115298,0.875,-4.5950604342293,1e-06,0.490906780143303
"Glycosyltransferase.family.36..PF06165.",0.00945640703486754,1,0.142857142857143,-5.65880031334461,0.547557013956511,0.5,-4.41586006572844,0.674319463669511,0.386665203359752
"PF11797",0.00955365402597578,1,0.428571428571429,-7.1758976513759,0.801919057406918,1,-9.02761873516089,1e-06,0.627578189732005
"PF04063",0.00984047129581897,1,0.571428571428571,-8.30948955116182,1.11085529666416,0.875,-4.5950604342293,1e-06,0.721227709838273
