"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"Halothiobacillus",0.00110960764450515,1,0.428571428571429,-4.59928624054742,0.0847998422354005,1,-5.01727983681492,1e-06,0.828145660929777
"X.Hymenostomatida.",0.00276683442326971,1,1,-5.27299955856375,1e-06,0.625,-3.97147404196204,0.168394603609988,0.909309870604892
"Exiguobacterium",0.00352551428606499,1,0.142857142857143,-1.12372991585848,0.766127166870297,0.375,0.738805298714079,0.904484264278209,0.848993621617559
"X.Enterococcaceae.",0.00931896779945885,1,0.571428571428571,0.177379334567421,2.29598330247652,0.625,-2.98250699312779,1.0394988735402,1.63674754319692
"Scardovia",0.0100315057220936,1,0.571428571428571,-4.60660903563518,0.102297506799237,1,-5.01727983681492,1e-06,0.905945546782943
"Fomitopsis",0.0103057899342075,1,0.571428571428571,-4.49711157029768,0.131387991015683,1,-5.01727983681492,1e-06,0.907223816558199
"Mannheimia",0.0103057899342075,1,0.571428571428571,-4.49711157029768,0.131387991015683,1,-5.01727983681492,1e-06,0.907223816558199
"Solitalea",0.01104175548947,1,0.142857142857143,-3.67356109950255,0.758137871178441,0.5,-2.10775871027166,0.358836775122148,0.730036006832516
"X.Methylophilales.",0.0113658420756732,1,1,-5.27299955856375,1e-06,0.5,-3.48600700347689,0.825619881539197,1.00203024550815
"Desulfofustis",0.0115790798386323,1,1,-5.27299955856375,1e-06,0.625,-4.31433526390306,0.25717332095876,0.916414109578636
"X.Viruses.",0.0145177081310503,1,0.714285714285714,-0.692455625874968,2.96311162281287,0.625,-3.87069436443403,0.602054048494932,1.51309746655072
"X.Intrasporangiaceae.",0.0218657775962898,1,0.571428571428571,-2.0592268350315,1.35862807175156,0.75,-4.54672459190781,0.656192855145545,1.08713075283758
"Entamoeba",0.0226733419544132,1,0.428571428571429,-4.30491143727808,0.902423838807997,0.375,-2.49380800853677,1.3388265045513,1.15578063891821
"Fimbriimonas",0.0278032883163435,1,0.571428571428571,-4.60660903563518,0.102297506799237,0.5,-3.00952791524812,0.603706753587699,0.733060438561652
"Oxalobacter",0.0325897670529578,1,1,-5.27299955856375,1e-06,0.5,-3.53053979761278,1.22334426914182,1.21212890640247
"Cronobacter",0.0393056714045577,1,0.571428571428571,-2.65092626083404,0.792718203457398,0.625,-0.902577376240172,0.762717987530427,0.88258989557449
"Draconibacterium",0.0399559664795631,1,0.285714285714286,-4.50798046491798,0.516436990212727,0.75,-2.89603159574055,0.0900970406114421,0.730370620618317
"Claviceps",0.0431209108789985,1,0.714285714285714,-1.55016052056174,1.22983372439345,0.75,-3.78917181420365,0.445774152189176,0.973349371298072
"X.Sphingobacteriales.",0.0434804565690301,1,0.142857142857143,-0.49787991827395,1.92679264541095,0.625,1.52670262290953,0.43674120105139,1.71667510608299
"X.Acetobacteraceae.",0.047632424605264,1,0.285714285714286,-1.39624214161626,1.13661796649811,0.5,-2.9839019416278,1.36579651904618,1.22495892207219
