"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"undecaprenyl.phosphate.galactose.phosphotransferase.WbaP..TIGR03022.",0.00137622902353348,1,0.142857142857143,-6.25116842355018,0.94196820697649,0.25,-4.31714148153198,1.00313337546126,0.763871377542859
"butyrate.kinase..TIGR02707.",0.00150968103432567,1,0.857142857142857,-1.60916539574077,1e-06,0.75,-5.50477682818277,0.29943334351345,0.436930733529348
"glutamate.formiminotransferase..TIGR02024.",0.00173808198232733,1,0.428571428571429,-7.05375513119164,0.656260851397003,0.75,-4.62860720091992,0.558634694568303,0.456040630028531
"FimV.C.terminal.domain..TIGR03504.",0.0021143284647782,1,0.142857142857143,-6.34445303891077,0.626044139172723,0.375,-4.91488502331512,0.558261725407031,0.41273554511134
"glucan.1.4.alpha.glucosidase..TIGR01535.",0.002656665912943,1,0.428571428571429,-6.81597361184596,0.368443351287647,0.375,-5.29463180793017,0.626922247352472,0.383341763815433
"polyol.permease..TIGR00897.",0.00397716833369053,1,0.714285714285714,-7.49884865730707,0.68628041263536,0.875,-4.02881434247961,1e-06,0.486730657996352
"putative.alkylphosphonate.utilization.operon.protein.PhnA..TIGR00686.",0.00431222086685004,1,0.428571428571429,-6.53396926300701,0.547380191351865,0.375,-5.06547870487749,0.602799612079976,0.410651263554508
"periplasmic.nitrate.reductase..large.subunit..TIGR01706.",0.00432734122051314,1,0.428571428571429,-7.05375513119164,0.656260851397003,0.625,-5.06517234830292,0.947182248818079,0.544072776514418
"flagellar.basal.body.rod.protein.FlgG..TIGR02488.",0.004545927235639,1,0.428571428571429,-5.67588441471784,0.569369970044719,0.375,-4.13863617049253,0.709752880841018,0.457161924106832
"phosphoheptose.isomerase..TIGR00441.",0.00460193981805582,1,0.142857142857143,-6.34447826945459,0.40701980388159,0.375,-4.92175493870594,0.979656433211554,0.506045053541508
"taurine.ABC.transporter..periplasmic.binding.protein..TIGR01729.",0.00499172676679528,1,0.428571428571429,-6.23753336333739,0.555253566786064,0.5,-4.36683421705199,1.0834235488938,0.608536712154985
"trimethyllysine.dioxygenase..TIGR02410.",0.00509626255283238,1,0.571428571428571,-7.13309147296765,0.798013380884792,0.875,-4.02483976042095,1e-06,0.523225685096178
"iron.sulfur.cluster.binding.protein..TIGR00273.",0.00510631092589096,1,0.428571428571429,-5.85708516351733,0.595774387158609,0.5,-4.32433546173441,0.54364231305294,0.411424651345722
"cytidylate.kinase..TIGR00017.",0.00529440316691614,1,0.142857142857143,-5.51882724575322,0.754845458083331,0.375,-4.22140381762753,0.43605310463271,0.438490502055953
"recombination.protein.U..TIGR00648.",0.00551413172683656,1,0.714285714285714,-7.49884865730707,0.68628041263536,0.875,-4.23359282018459,1e-06,0.486730657996352
"X5.formyltetrahydrofolate.cyclo.ligase..TIGR02727.",0.00571298350218026,1,0.142857142857143,-5.49056910102868,0.584734782648113,0.125,-4.32973389550058,0.684542072199748,0.440453024159504
"glycerol.3.phosphate.cytidylyltransferase..TIGR01518.",0.0060318810746769,1,0.714285714285714,-7.23657851893132,0.0771691165574376,0.875,-4.23359282018459,1e-06,0.425998943592153
"pyruvate.oxidase..TIGR02720.",0.00607078805805519,1,0.428571428571429,-6.68540226235256,1.02812630189806,0.625,-4.73405436393348,0.435193834458322,0.58384056614378
"DNA.phosphorothioation.system.restriction.enzyme..TIGR04095.",0.00624447441491456,1,0.714285714285714,-6.40595743995046,0.455844763184841,0.875,-3.3319531661817,1e-06,0.452358885555744
