"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"ADP.ribose.diphosphatase..3.6.1.13.",0.000690328258968304,1,0.333333333333333,-5.54329385312775,0.801667842509089,0.375,-3.82171894697519,0.572180626187955,0.493031562774351
"D.galactose.1.dehydrogenase..1.1.1.48.",0.00278097733645496,1,1,-6.76619171466035,1e-06,0.5,-5.22116024815,0.430251917589699,0.449695911106595
"Plastoquinol..plastocyanin.reductase..1.10.9.1.",0.00382489253746385,1,0.666666666666667,-4.96012571291291,0.22440686285924,1,-6.43294009273918,1e-06,0.449243569818934
"X.d.CMP.kinase..2.7.4.25.",0.00387174931714941,1,0.333333333333333,-4.95919054002358,0.290401811671012,0.375,-3.79921704459761,0.545353851715613,0.33910103614851
"Erythrose.4.phosphate.dehydrogenase..1.2.1.72.",0.00393153385080506,1,0.666666666666667,-5.73059839090712,0.381468237490358,0.625,-4.0178838783186,0.155848080993464,0.369557832765238
"Cyclomaltodextrinase..3.2.1.54.",0.00477901459745408,1,0.555555555555556,-5.57064486246788,0.400875995551819,0.5,-3.84103225591795,1.093384746519,0.557420176448116
"Butyrate..acetoacetate.CoA.transferase..2.8.3.9.",0.00538492158049019,1,0.777777777777778,-6.45080988154331,0.444390802274188,0.875,-3.58195717021738,1e-06,0.458108938147539
"L.arabinose.1.dehydrogenase..1.1.1.46.",0.00617907238052478,1,0.555555555555556,-5.76528254255512,0.963907198479903,0.5,-4.03137986867417,0.822842083036715,0.604544206346159
"Carbamoyl.phosphate.synthase..ammonia...6.3.4.16.",0.00645661662926722,1,0.555555555555556,-5.39568662171201,0.650617849617951,0.625,-3.69143387179375,0.820162121750469,0.497352655807845
"Rhamnulose.1.phosphate.aldolase..4.1.2.19.",0.006668732882487,1,0.555555555555556,-5.61227984893611,1.04843879643923,0.625,-3.74085209394585,0.683555926585392,0.605761416648987
"diphosphate.specific...2.5.1.31.",0.00716892497587461,1,0.222222222222222,-4.65252446607529,0.964154677130795,0.25,-3.37523314208504,0.638340369822174,0.593723216680504
