"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"butyrate.kinase.activity..GO.0047761.",0.00104563566871328,1,0.777777777777778,-2.21499694884712,0.381108550550496,0.75,-5.36402971329199,0.38703574215579,0.333119645919787
"inorganic.anion.transmembrane.transporter.activity..GO.0015103.",0.00137390147759055,1,0.444444444444444,-6.49250523067586,0.430846969873538,0.375,-5.25044979877222,0.260598353718995,0.233162106957839
"sodium.proton.antiporter.activity..GO.0015385.",0.00153376480388259,1,0.333333333333333,-5.61009486437858,0.685480228888104,0.25,-4.30720151253993,0.375033259977954,0.339380400319464
"magnesium.protoporphyrin.IX.monomethyl.ester..oxidative..cyclase.activity..GO.0048529.",0.00278222150880038,1,0.666666666666667,-6.71245193789537,0.980425844928549,0.75,-3.94051845013076,0.0412018182362244,0.499244734160261
"mannitol.dehydrogenase.activity..GO.0046029.",0.00283115586899054,1,0.555555555555556,-5.47793754978911,0.520558116896618,1,-7.3356339819272,1e-06,0.409266077806883
"X5.formyltetrahydrofolate.cyclo.ligase.activity..GO.0030272.",0.00421496672499448,1,0.222222222222222,-5.05357220573327,0.511067200245009,0.125,-4.01022087739631,0.62096691350145,0.348267240012598
"X.di.trans.poly.cis.decaprenylcistransferase.activity..GO.0008834..",0.00454004680674956,1,0.222222222222222,-5.55301186355018,0.931082068250636,0.25,-4.01067712888343,0.888757811300368,0.703834914947627
"CoA.disulfide.reductase.activity..GO.0050451.",0.00468090968604053,1,0.555555555555556,-6.58104309372914,1.12739913223835,0.875,-2.81320648126276,1e-06,0.741370590790065
"glucosidase.activity..GO.0015926.",0.00620850175263005,1,0.444444444444444,-5.47916480202044,0.25192700889968,0.5,-4.14017986405727,0.823410620481685,0.360849031553822
"X4.hydroxy.2.oxoglutarate.aldolase.activity..GO.0008700.",0.00628991354593277,1,0.555555555555556,-6.26428892814595,0.43951165263214,0.5,-4.73941732511642,0.784249239183699,0.406918743275156
"structural.constituent.of.cell.wall..GO.0005199.",0.00793794016161945,1,0.555555555555556,-5.89645597652413,0.582208737506468,1,-7.3356339819272,1e-06,0.439253870056036
"dephospho.CoA.kinase.activity..GO.0004140.",0.00813936282574079,1,0.444444444444444,-5.8699227900462,0.429647312278756,0.125,-4.63144914770027,0.855439438577916,0.479663243501936
"D.amino.acid.oxidase.activity..GO.0003884.",0.00841436340062178,1,0.777777777777778,-7.04157395721086,0.895916073811838,0.75,-4.10772577721104,1.25746610046467,0.640239963874762
"cytidylate.kinase.activity..GO.0004127.",0.00906088903246014,1,0.333333333333333,-5.11644087363351,0.707068290707263,0.375,-3.96327714860083,0.492227799694381,0.394128176389633
"undecaprenyl.phosphate.galactose.phosphotransferase.activity..GO.0047360.",0.00998698549573321,1,0.444444444444444,-5.58100752855542,0.37012241194099,0.375,-4.42201241271998,0.740370653400485,0.368022013351437
"toxic.substance.binding..GO.0015643.",0.010647080815484,1,0.555555555555556,-6.1378393565847,0.92736745868761,0.75,-4.10791043603729,0.29616020761605,0.527005119267582
"D.threo.aldose.1.dehydrogenase.activity..GO.0047834.",0.0108235533557276,1,0.666666666666667,-6.87584708691062,0.119112816738613,1,-7.3356339819272,1e-06,0.344574648278882
"X.cellulose.1.4.beta.cellobiosidase.activity..GO.0016162..",0.01136070099753,1,0.777777777777778,-6.65315834956735,0.346613453645004,0.875,-3.96965253520281,1e-06,0.360392426544656
"X6.aminohexanoate.dimer.hydrolase.activity..GO.0019875.",0.0119640607765919,1,1,-7.67554600253785,1e-06,0.625,-5.9427323010411,0.472793366186823,0.416745479252458
"single.stranded.RNA.binding..GO.0003727.",0.0123388374681144,1,0.222222222222222,-5.50045256783822,0.724881333819819,0,-4.54137335690234,0.628345441482132,0.443059753672679
"carbohydrate.transporting.ATPase.activity..GO.0043211.",0.0145889382193445,1,0.555555555555556,-6.13780070476164,0.547760493152222,0.25,-4.56288678240575,1.15735561349165,0.747428164785949
"GTP.cyclohydrolase.IIa.activity..GO.0043740.",0.0150016113262674,1,0.777777777777778,-6.82268710753643,0.106863584912867,0.75,-4.65017397423732,1.04480628504071,0.451918767880923
"O.methyltransferase.activity..GO.0008171.",0.0171302457386324,1,0.555555555555556,-4.20071182776944,0.628556959180001,0.75,-6.15925870848059,1.44380076071126,0.595411343033666
"X4.deoxy.L.threo.5.hexosulose.uronate.ketol.isomerase.activity..GO.0008697.",0.0185331400140401,1,0.444444444444444,-6.076732895296,0.64632359604112,0.5,-4.89152701845601,0.659324640019849,0.419077720414014
"phosphatidylinositol.alpha.mannosyltransferase.activity..GO.0043750.",0.0190138882617308,1,0.666666666666667,-6.3574311605586,0.340180098278837,1,-7.3356339819272,1e-06,0.379578180349664
"X.cob.I.yrinic.acid.a.c.diamide.adenosyltransferase.activity..GO.0008817..",0.0194147324436508,1,0.555555555555556,-5.02731663379011,0.663034679961424,0.75,-6.70849243103004,0.885991075793251,0.462933797408276
"D.sedoheptulose.7.phosphate.isomerase.activity..GO.0008968.",0.0202747276492952,1,0.444444444444444,-5.67025566930753,0.523551323657604,0.375,-4.40952071973171,1.02265288165094,0.566370915927611
"bacterial.type.RNA.polymerase.core.promoter.proximal.region.sequence.specific.DNA.binding..GO.0000986.",0.0205808099055397,1,0.666666666666667,-6.99379966250398,0.638889626900788,0.75,-5.35001077674491,0.480407218334562,0.3868268398468
"anthranilate.phosphoribosyltransferase.activity..GO.0004048.",0.0217868716665783,1,0.333333333333333,-4.29786434783568,0.332369387903253,0.375,-3.5187613469269,0.473244701953053,0.247716048738689
"glutathione.peroxidase.activity..GO.0004602.",0.0224681951144914,1,0.222222222222222,-4.91885530460038,0.9653675311499,0.125,-3.91722868358671,0.544340027555096,0.555911065339263
"X.phenylacetyl.CoA.1.2.epoxidase.activity..GO.0097266..",0.022557003466173,1,1,-7.67554600253785,1e-06,0.625,-6.25574175593036,0.540802880183019,0.440510178230853
"chlorophyllide.a.oxygenase..overall..activity..GO.0010277.",0.0250330030552498,1,0.888888888888889,-7.67508228837724,1e-06,0.75,-4.80054717180948,1.25746610046467,0.612242269813639
"X.inositol.1.4.5.trisphosphate.3.kinase.activity..GO.0008440..",0.0251507044011056,1,0.555555555555556,-6.04843549567786,0.318775025757422,0.625,-4.37863647288308,1.49150710102506,0.686093944492317
"alkylbase.DNA.N.glycosylase.activity..GO.0003905.",0.0256810139781605,1,0.333333333333333,-5.22709038957043,0.482780934202394,0.375,-4.45979021352185,0.320153372409958,0.256931830861673
"X5..3..exoribonuclease.activity..GO.0004534.",0.0257766405823629,1,0.666666666666667,-6.71245193789537,0.288616838205075,0.75,-5.31729694754686,0.526671559263604,0.309511332480036
"X.enoyl..acyl.carrier.protein..reductase..NADPH..B.specific..activity..GO.0004319..",0.0258723472003743,1,0.666666666666667,-6.24441198857922,0.148035481446394,0.5,-4.96850627827307,0.808646963104071,0.40567661357774
"galactitol.transmembrane.transporter.activity..GO.0015577.",0.0261128850112683,1,0.666666666666667,-6.45350819946637,0.423852557418141,0.875,-4.53952742733597,1e-06,0.342567942868862
"tRNA.guanylyltransferase.activity..GO.0008193.",0.0264575745621614,1,0.666666666666667,-6.38536450183335,0.324526919740289,0.875,-4.53952742733597,1e-06,0.320709696901228
"calcium.transporting.ATPase.activity..GO.0005388.",0.0268876724144808,1,0.333333333333333,-5.27800326930634,1.00099856868408,0.125,-4.16055708756435,0.788467473045976,0.677833491262738
"benzoate.CoA.ligase.activity..GO.0018858.",0.0271645612163043,1,0.666666666666667,-5.99133015180644,0.168958709644474,0.75,-7.25758137292802,0.109462047212047,0.261455014485725
"serine.type.endopeptidase.inhibitor.activity..GO.0004867.",0.0272715149029996,1,0.777777777777778,-6.34860074012034,0.0840960481588884,0.875,-4.25189966876411,1e-06,0.340902499514134
"deoxyhypusine.monooxygenase.activity..GO.0019135.",0.0279932401756148,1,0.555555555555556,-5.92078320754971,0.931648986562279,1,-7.3356339819272,1e-06,0.672589641797745
"N.acylneuraminate.9.phosphate.synthase.activity..GO.0047444.",0.0282259042263907,1,0.666666666666667,-5.77629540371988,0.670437893632245,1,-7.3356339819272,1e-06,0.494641726846406
"folic.acid.binding..GO.0005542.",0.0301543744234903,1,0.444444444444444,-6.14382377657262,0.522235772879276,0.5,-5.08243506077673,0.776118081780939,0.412547553967726
"glucuronate.isomerase.activity..GO.0008880.",0.0301856522294445,1,0.222222222222222,-4.55987186614475,0.205474328746465,0,-3.97476821918644,0.517831464472488,0.230375313334252
