"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"nuclear.migration..GO.0007097.",0.00207687280596066,1,0.444444444444444,-6.08443301396108,0.549555990879023,1,-7.53208814354172,1e-06,0.394266404633147
"sphingomyelin.catabolic.process..GO.0006685.",0.00460219424114537,1,0.666666666666667,-5.69253576771671,0.307811272522016,1,-7.53208814354172,1e-06,0.34482278276455
"lactate.oxidation..GO.0019516.",0.00718514692501423,1,0.555555555555556,-5.73838452264459,0.620228568102342,0.5,-4.41870134647773,0.34110038692376,0.302292265204827
"metal.ion.transport..GO.0030001.",0.0082306554564842,1,0.333333333333333,-3.08892772633163,0.152672985133637,0.375,-4.5056268465874,1.17735683628371,0.559264236974623
"spliceosome.conformational.change.to.release.U4..or.U4atac..and.U1..or.U11...GO.0000388.",0.00843786880990752,1,0.444444444444444,-5.44558751418411,0.45447028795872,0.875,-7.53155295518194,1e-06,0.292838527257537
"pyrimidine.nucleotide.metabolic.process..GO.0006220.",0.0096369239025283,1,0.333333333333333,-5.7096189121676,0.379904768759283,0.375,-4.88633506772236,0.310319250610139,0.199294269396272
"D.glycero.D.manno.heptose.7.phosphate.biosynthetic.process..GO.2001061.",0.0110636910500845,1,0.333333333333333,-5.86231456639494,0.433019203903636,0.375,-4.50422455765562,1.10097086932305,0.569132438530814
"defense.response.to.bacterium..GO.0042742.",0.0113762824076386,1,0.333333333333333,-4.31576272874915,1.12877608337105,0.375,-5.76193907061999,0.339450617204967,0.651767338796019
"antibiotic.transport..GO.0042891.",0.0114994115731108,1,0.555555555555556,-6.31647058435733,0.564103144120428,1,-7.53208814354172,1e-06,0.419187277561159
"pectin.catabolic.process..GO.0045490.",0.0120037947753256,1,0.444444444444444,-5.82117906974017,0.724956458803719,0.375,-4.7373461165755,0.299221504215906,0.332561215076636
"transsulfuration..GO.0019346.",0.012127068518144,1,0.888888888888889,-2.63869581179266,1e-06,0.5,-6.34390890176542,1.27152199460779,0.941797871143136
"D.tagatose.6.phosphate.catabolic.process..GO.2001059.",0.012440041881478,1,0.444444444444444,-6.45108218607846,1.17108770429681,0.375,-4.81856635278994,0.708415866387624,0.764483177255546
"photosynthesis..light.reaction..GO.0019684.",0.0145380840936993,1,0.666666666666667,-6.01722655121968,0.457442940368701,1,-7.53208814354172,1e-06,0.394050106063786
"teichoic.acid.biosynthetic.process..GO.0019350.",0.0151913852457548,1,0.777777777777778,-7.14641963777873,0.0157279116934843,0.875,-4.61459034473498,1e-06,0.304142991203295
"positive.regulation.of.proteolysis..GO.0045862.",0.0156848460226971,1,0.444444444444444,-6.70160696839429,0.858146013871723,0.5,-5.19471709205675,0.849010683127899,0.612344876006927
"cytolysis..GO.0019835.",0.0164783844804058,1,0.333333333333333,-3.63584479046838,0.641588666160008,0.25,-4.51215379403843,0.384253487506858,0.308457296266475
"methylglyoxal.catabolic.process.to.D.lactate..GO.0019243.",0.0174470812632339,1,0.777777777777778,-6.89194702345281,0.344150710738768,0.75,-5.15896244117388,0.071074699009094,0.272137600277909
"single.species.biofilm.formation..GO.0044010.",0.0178740300410894,1,0.666666666666667,-7.21146251035136,0.604557933497746,0.75,-5.54099026952616,0.368535920909201,0.342967469323395
"response.to.copper.ion..GO.0046688.",0.019956276174872,1,0.555555555555556,-6.31392859801219,0.921526098287117,0.125,-4.76911734093807,1.0714026925283,0.857540336191398
"acetoin.catabolic.process..GO.0045150.",0.0239798971160275,1,0.555555555555556,-6.1340960720489,0.996306387432412,0.25,-4.45358277200135,1.2122305484825,1.00754542399726
"poly.A...mRNA.export.from.nucleus..GO.0016973.",0.0242108067201126,1,0.777777777777778,-6.90306833646517,0.359878622432252,0.75,-4.35310263335434,1.54930061374448,0.697879456987858
"respiratory.chain.complex.IV.assembly..GO.0008535.",0.0244856090020702,1,0.333333333333333,-3.40648227831574,0.337597446029918,0.125,-4.3268095780335,0.855853769856192,0.435393211854056
"response.to.wounding..GO.0009611.",0.0257915116555991,1,0.777777777777778,-6.7003682278217,0.0732173796941518,0.875,-4.51620654002386,1e-06,0.305242144412759
"photosynthetic.electron.transport.in.photosystem.I..GO.0009773.",0.0258020092557508,1,0.777777777777778,-5.45213710273494,0.138742650148758,0.875,-3.25758166327913,1e-06,0.3082275942235
"gamma.aminobutyric.acid.catabolic.process..GO.0009450.",0.0258650062368127,1,0.444444444444444,-4.29087233691223,0.464622915299894,0.25,-3.59802316722934,0.254194206282838,0.205596835913509
"protein.initiator.methionine.removal.involved.in.protein.maturation..GO.0035551.",0.0273004834208571,1,0.777777777777778,-7.24954460314387,0.849870057809657,0.875,-4.61459034473498,1e-06,0.459347121460924
"regulation.of.translational.elongation..GO.0006448.",0.0273465656736996,1,0.666666666666667,-6.74949415477977,0.368118729872425,0.375,-5.10982626948734,1.17556787757476,0.747350265108988
"aspartate.family.amino.acid.biosynthetic.process..GO.0009067.",0.0284886397164646,1,0.333333333333333,-4.83765632980866,0.641271520588628,0.125,-3.98920049649217,0.619480816642863,0.394027963274812
"ribosomal.small.subunit.biogenesis..GO.0042274.",0.0288888172414113,1,0.333333333333333,-3.29547488628632,0.21397878801305,0.25,-3.90524670128622,0.426825461059574,0.187113756028792
"Actinobacterium.type.cell.wall.biogenesis..GO.0071766.",0.0290176288232623,1,0.666666666666667,-7.03050207981295,0.201082879274599,0.625,-5.30605400422096,1.27537920929762,0.620574177290601
"inositol.catabolic.process..GO.0019310.",0.0308497088022731,1,0.444444444444444,-5.41095664297342,0.795243155560359,0.25,-4.21931470601211,0.933872587900874,0.656403125934053
"X7.methylguanosine.RNA.capping..GO.0009452.",0.0318638510017572,1,0.666666666666667,-5.03112875504279,1.14920482412878,1,-7.53208814354172,1e-06,0.871859054225427
