"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"PF13148",2.49123981545809e-05,0.784609831842055,0.444444444444444,-7.13419103699764,0.319726787391094,1,-9.78498550845513,1e-06,0.373084949335213
"Lethal.giant.larvae.Lgl..like..C.terminal..PF08596.",3.2857105928802e-05,0.784609831842055,0.444444444444444,-8.1581885714567,0.210427312473041,1,-9.78498550845513,1e-06,0.33822544006848
"Bacterial.protein.of.unknown.function..DUF881...PF05949.",0.00127696734727122,1,0.666666666666667,-8.94392776464325,0.153156717645227,0.875,-4.75357158955032,1e-06,0.375049537311305
"SdiA.regulated..PF06977.",0.00168327424493192,1,0.444444444444444,-8.64381666840149,0.494047306021221,0.625,-6.37607726148044,0.99327566031988,0.52039166251747
"X2.oxoisovalerate.dehydrogenase.E1.alpha.subunit.N.terminal..PF12573.",0.00170763124808011,1,0.444444444444444,-8.46872511447748,0.475290088641411,0.375,-6.82351355929181,0.676409627621812,0.412521418263229
"Laminin.G.domain..PF00054.",0.00191883556984782,1,0.888888888888889,-1.09858648254948,1e-06,0.75,-6.27986425485279,0.14170715264796,0.449950274028841
"Complement.Clr.like.EGF.like..PF12662.",0.00245703164179031,1,0.888888888888889,-1.09858648254948,1e-06,0.75,-7.09736654835379,1.03999101858749,0.67827708638417
"PF07581",0.00295178533450104,1,0.888888888888889,-3.8815448421162,1e-06,0.75,-9.21483782909076,0.806230980703978,0.585446532577907
"Eukaryotic.porin..PF01459.",0.00346139530427586,1,0.555555555555556,-8.48812040929974,0.389891569402788,1,-9.78498550845513,1e-06,0.447474652621082
"PF11489",0.00364968439598556,1,0.666666666666667,-8.80096393891957,0.345292589329823,0.875,-5.28149158032898,1e-06,0.408956182752228
"Wyosine.base.formation..PF08608.",0.00399946090449515,1,0.555555555555556,-8.02223370313165,0.557620943211318,1,-9.78498550845513,1e-06,0.531874315500159
"PF15633",0.00481058712105946,1,0.888888888888889,-5.50531225971044,1e-06,0.625,-8.85347776342552,0.377344186787941,0.417156395365525
"Domain.of.unknown.function..DUF309...PF03745.",0.00578919441871035,1,0.777777777777778,-9.29597261635202,0.273935562291686,0.875,-5.28149158032898,1e-06,0.461772022051288
"PF11387",0.00586804083033719,1,0.777777777777778,-9.82452181274585,0.473545879629858,0.875,-5.68694730691406,1e-06,0.493865748791379
"Calcium.binding.EGF.domain..PF07645.",0.00605265215612393,1,0.888888888888889,-0.405458656516073,1e-06,0.75,-6.58256045840792,1.76803677298121,1.11801795115494
"PF02537",0.00653955072108253,1,0.444444444444444,-8.82707055677262,0.738450564734005,0.25,-7.45928975116912,0.609717757333718,0.483180666759663
"MltA.specific.insert.domain..PF03562.",0.00657806521200289,1,0.333333333333333,-7.33453313001957,0.457921669562797,0.25,-6.25745478672057,0.550196936581129,0.339496439862769
"PF09184",0.00667447303114502,1,0.777777777777778,-9.34491740956148,1.15180893118705,0.75,-5.7695468297841,0.863404976295421,0.733556139426709
"PF04063",0.00670237306902565,1,0.666666666666667,-9.16811929485206,0.960021047230017,0.875,-5.15902731613539,1e-06,0.693044626077854
"PF04064",0.00670237306902565,1,0.666666666666667,-9.16811929485206,0.960021047230017,0.875,-5.15902731613539,1e-06,0.693044626077854
"Chromatin.associated.protein.KTI12..PF08433.",0.00677962664939032,1,0.666666666666667,-8.67113125379007,0.226964894677603,1,-9.78498550845513,1e-06,0.46779163829614
"PF10062",0.00689554608454383,1,0.777777777777778,-9.82452181274585,0.473545879629858,0.875,-5.85214635265413,1e-06,0.493865748791379
"Transposase.DNA.binding..PF14706.",0.00706581769319058,1,0.888888888888889,-4.57467266814961,1e-06,0.625,-7.54946299426084,0.26063071693449,0.390794298644195
"PF11797",0.0071234029596359,1,0.555555555555556,-8.04018941287332,0.678546572510511,1,-9.78498550845513,1e-06,0.611260022241848
"PF12417",0.00740095365452046,1,0.555555555555556,-8.43307215429971,0.533111845518666,1,-9.78498550845513,1e-06,0.517677454700745
"PF14538",0.00782723661506121,1,0.555555555555556,-8.90662128662,0.982997495780753,0.25,-7.0918193888289,0.893627105694001,0.769458708186137
"Immunoglobulin.I.set.domain..PF07679.",0.00830634338593497,1,0.666666666666667,-3.35999497595335,2.89823503818486,0.125,-7.4374122979209,1.89445812950276,3.46853640212174
"PF11305",0.00860752324781253,1,0.888888888888889,-6.19844008574384,1e-06,0.75,-9.76412521064267,0.0294213160728665,0.445817097123938
"PF04959",0.00881743338711569,1,0.777777777777778,-7.34545036628389,0.284610750653385,0.75,-9.76412521064267,0.0294213160728665,0.381237302866456
"Domain.of.unknown.function..DUF3546...PF12066.",0.00881743338711569,1,0.777777777777778,-7.34545036628389,0.284610750653385,0.75,-9.76412521064267,0.0294213160728665,0.381237302866456
"PF05382",0.00884387328524717,1,0.444444444444444,-8.33067804689896,0.835930747391449,1,-9.78498550845513,1e-06,0.731966849948035
"Bacteriophage.Mu.Gp45.protein..PF06890.",0.00888320795833713,1,0.888888888888889,-4.57467266814961,1e-06,0.75,-8.19489783517707,0.316109409213357,0.467124625648884
"Ribosomal.protein.S6e..PF01092.",0.00902938047645416,1,0.666666666666667,-8.42636739724086,0.320587726248317,1,-9.78498550845513,1e-06,0.489844978671372
"CHAD.domain..PF05235.",0.00908116708209144,1,0.222222222222222,-6.93468716852886,0.935705739983241,0.5,-8.41268876146386,0.18633001105331,0.587331842126338
"PF02508",0.00908556806925059,1,0.555555555555556,-8.07799997274161,0.521044988504031,0.25,-6.60916785721526,0.811850216390555,0.53066376656597
"Phenolic.acid.decarboxylase..PAD...PF05870.",0.00915964907456258,1,0.666666666666667,-8.80877487913789,0.750738988116758,0.875,-5.43490714874492,1e-06,0.566286307627193
"PF10076",0.00928798748364099,1,0.777777777777778,-9.01006990687226,0.678263051557188,0.75,-5.66934708655736,1.29510212795631,0.745097627190957
"Cytidylate.kinase..PF02224.",0.00940591688025639,1,0.333333333333333,-7.7012488726596,0.677360114087719,0.375,-6.49627112244152,0.497233162149865,0.423336694819763
"PF05091",0.00940748834807136,1,0.777777777777778,-9.01006990687226,0.678263051557188,0.875,-5.15902731613539,1e-06,0.5445848403084
"PF12752",0.00962589495829371,1,0.888888888888889,-10.1593693154351,1e-06,0.375,-7.05721148109091,0.887534045797158,0.68278146255692
"Possible.tRNA.binding.domain..PF13725.",0.00978527176625529,1,0.333333333333333,-8.89314618383505,0.443590165492541,0.5,-7.76749953668981,0.472887443607538,0.319896286361775
"PF05380",0.00985526602627401,1,0.888888888888889,-1.09858648254948,1e-06,0.75,-5.54669932879798,1.17855893453093,0.744402537486229
