"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"Exiguobacterium",0.00321735079347977,1,0.333333333333333,-0.817003797374417,0.870830076521403,0.375,1.09295226447481,0.857190330802909,0.846818890456035
"Desulfofustis",0.00667338590621344,1,1,-4.96284463025991,1e-06,0.625,-3.59259795165981,0.27696761915054,0.86880397283593
"Oxalobacter",0.00805296889370611,1,1,-4.96284463025991,1e-06,0.5,-3.02501776399864,0.788068590071352,0.953172782171915
"Fimbriimonas",0.00856223796872567,1,0.666666666666667,-4.34547418808999,0.396106954044079,0.5,-2.47903989219191,0.213440400183692,0.623713373883082
"X.Methylophilales.",0.00863391302509703,1,1,-4.96284463025991,1e-06,0.5,-2.8068532365337,0.899474073064422,1.00975820255885
"X.Enterococcaceae.",0.00878640660845065,1,0.555555555555556,0.2211718625747,1.79061548317751,0.625,-2.68947234605796,1.13686778882053,1.53009834292838
"X.Rivulariaceae.",0.00916006681645554,1,0.666666666666667,-4.07223745442735,0.177821398326075,1,-4.82028156560504,1e-06,0.858747310499785
"X.Hymenostomatida.",0.0100297403956631,1,1,-4.96284463025991,1e-06,0.625,-3.86094623996411,0.274456409989809,0.868495130869254
"X.Intrasporangiaceae.",0.0116408312399895,1,0.666666666666667,-1.79969110553078,0.893711332345422,0.75,-4.34496860587138,0.313663144975384,0.851005115881166
"Syntrophobotulus",0.0240751976015355,1,0.666666666666667,-4.19820816558615,0.245381620591173,1,-4.82028156560504,1e-06,0.865124180476588
"Magnetospirillum",0.0276923728780362,1,0.333333333333333,-3.60794284184026,0.770905751661542,0.5,-2.23617465188407,0.748674611639563,0.769724643600522
"Halothiobacillus",0.0280231798549382,1,0.555555555555556,-4.32566962749533,0.325836403495338,1,-4.82028156560504,1e-06,0.79820138304419
"X.Streptococcaceae.",0.030455986353742,1,0.666666666666667,-3.18591291777387,0.458415588839523,0.625,-1.43955919250477,0.720418498695234,0.760046153482013
"Entamoeba",0.0310536877364099,1,0.555555555555556,-3.89219258944809,1.20672766917797,0.375,-2.13925268368607,1.22875202456386,1.20564837960529
"Candidatus_Cardinium",0.0311494424846679,1,0.888888888888889,-0.68966891618362,1e-06,0.75,-3.60420650513741,0.395620855489771,0.869148974473602
"X.Orbiliaceae.",0.0312040626925836,1,0.666666666666667,-3.66492552531661,0.524806680519464,1,-4.82028156560504,1e-06,0.913122939093407
"Candidatus_Contendobacter",0.0317233616534536,1,0.666666666666667,-3.86190393430649,0.439308022425587,1,-4.82028156560504,1e-06,0.894738273291395
"Citrobacter",0.0335371581519047,1,0.222222222222222,-2.52216409596896,0.923389159853056,0.25,-1.3719938621985,0.732382400048987,0.81378000674136
"X.Halobacteriaceae.",0.0373165914930246,1,0.555555555555556,-3.73731893473848,0.631711350462522,0.625,-2.25520963057302,0.3465238527572,0.69981730597746
"Methanocella",0.0439308302854726,1,0.666666666666667,-3.90643057069774,0.502944040197427,1,-4.82028156560504,1e-06,0.90811154986588
"Caldicellulosiruptor",0.0441695750567344,1,0.666666666666667,-3.67654093196986,0.631425194201754,1,-4.82028156560504,1e-06,0.94061740557547
"X.Oxalobacteraceae.",0.0447399524999095,1,0.444444444444444,-0.563691489365399,0.732609705383403,0.625,0.828140608167527,0.57107405174353,0.747211287610012
"X.Alteromonadales.",0.04608585615871,1,0.444444444444444,-3.79604525378217,0.447785129358627,0.125,-2.79273943357282,0.713067319455523,0.639508579446222
"Smithella",0.046330753560252,1,0.888888888888889,-2.07334661641234,1e-06,0.75,-4.68953818545258,0.173631827649549,0.855056919293455
