"","p","p.adj","eta1","mean1","sd1","eta2","mean2","sd2","mod.pool.var"
"ribonucleoside.diphosphate.reductase..alpha.chain..TIGR02510.",0.000720282255276912,1,0.444444444444444,-2.98346756348199,0.823045156716001,0.5,-4.93060733150588,0.538841904325706,0.527597413256442
"magnesium.transporter..TIGR00400.",0.00345875639849854,1,0.222222222222222,-2.62119140419923,0.398503266626703,0.25,-3.93503117791717,0.977789368757147,0.529365942436265
"butyrate.kinase..TIGR02707.",0.00396310223218913,1,0.777777777777778,-2.07814460769232,0.98005421937739,0.75,-4.57404092831301,0.345467257760274,0.536850635311158
"glutamate.formiminotransferase..TIGR02024.",0.00397952225211624,1,0.555555555555556,-5.7417238716258,0.607542532410077,0.75,-3.71004919652152,0.588473315269242,0.495249163042429
"conserved.hypothetical.phage.tail.region.protein..TIGR02241.",0.00402712523853494,1,0.555555555555556,-5.5531868924256,0.395144904289931,0.375,-3.98173223764437,0.857431110779043,0.518946863574994
"selenoprotein.B..glycine.betaine.sarcosine.D.proline.reductase.family..TIGR01918.",0.00473703717351554,1,0.666666666666667,-5.1900059783731,0.176000645919931,1,-6.22653666928747,1e-06,0.50205405582107
"recombination.protein.U..TIGR00648.",0.00494398286800243,1,0.777777777777778,-6.20835179209418,0.377716160336554,0.875,-3.2939357247473,1e-06,0.50789268440631
"polyol.permease..TIGR00897.",0.00688478579597574,1,0.777777777777778,-6.20835179209418,0.377716160336554,0.875,-3.44003558440256,1e-06,0.50789268440631
"iron.sulfur.cluster.binding.protein..TIGR00273.",0.00712028818856964,1,0.555555555555556,-4.54576675446742,0.475773343792667,0.5,-3.15518176223572,0.37996796792638,0.424495412033265
"glucan.1.4.alpha.glucosidase..TIGR01535.",0.00739157849570956,1,0.555555555555556,-5.5531868924256,0.395144904289931,0.375,-4.23108218905437,0.570904823780871,0.436371760776165
"glutaredoxin..GrxB.family..TIGR02182.",0.00926078161663813,1,0.666666666666667,-5.96941135976914,0.492556940351797,0.5,-4.40802148065936,0.680325107776427,0.491034644237385
"ferrous.iron.transport.protein.B..TIGR00437.",0.00959368106796973,1,0.444444444444444,-2.76881678198027,0.471992746874325,0.25,-3.95108461736727,0.714358768491816,0.472924891922187
"periplasmic.nitrate.reductase..large.subunit..TIGR01706.",0.0101134876709781,1,0.555555555555556,-5.7417238716258,0.607542532410077,0.625,-4.26278274672797,0.213896666193228,0.453170014002178
"PQQ.dependent.dehydrogenase..methanol.ethanol.family..TIGR03075.",0.0106295510855978,1,0.777777777777778,-4.12461041864167,0.341233047168715,0.75,-6.13380095176852,0.128361502566919,0.472974812012471
"FimV.C.terminal.domain..TIGR03504.",0.0106645541563814,1,0.333333333333333,-5.04513776828692,0.674977073936984,0.375,-3.85143033400622,0.65567875626518,0.498353831784045
"probable.sodium.solute.symporter..VC_2705.subfamily..TIGR03648.",0.0116255625623321,1,0.777777777777778,-3.62973059867836,0.0611125425559227,0.625,-5.45744953865103,0.676589954917177,0.492778791240727
"recombinase..phage.RecT.family..TIGR00616.",0.0122706451350733,1,1,-6.47697236288968,1e-06,0.625,-5.18425737346441,0.357373378413903,0.516049267077348
"glycerol.3.phosphate.cytidylyltransferase..TIGR01518.",0.0126655115832305,1,0.777777777777778,-5.76704942881383,0.0226404069937877,0.875,-3.2939357247473,1e-06,0.497609832539139
"putative.selenium.metabolism.protein.SsnA..TIGR03314.",0.0126658735191016,1,0.777777777777778,-3.5538397265839,1.10689383168685,0.625,-5.48284288014261,0.64863419860138,0.565284871867773
"CRISPR.associated.endonuclease.Cas1..subtype.II.NMENI..TIGR03639.",0.0128116556272678,1,0.666666666666667,-4.11058199226225,1.22156475010084,0.75,-6.13380095176852,0.128361502566919,0.624322542964315
"magnesium.protoporphyrin.IX.monomethyl.ester.aerobic.oxidative.cyclase..TIGR02029.",0.0129962692494629,1,0.666666666666667,-5.73861841433449,0.856319500790599,0.875,-3.2939357247473,1e-06,0.562936382262646
"V.type.ATPase..B.subunit..TIGR01040.",0.0131074091248905,1,0.555555555555556,-5.08428780582654,0.556907496585583,1,-6.22653666928747,1e-06,0.52677175049564
"molybdopterin.guanine.dinucleotide.biosynthesis.protein.B..TIGR00176.",0.0152292940863631,1,0.555555555555556,-3.20279985534297,1.83927076407882,0.75,-5.58515270226622,0.647544292851484,1.03698022489116
"AmpG.like.permease..TIGR00901.",0.0152629131933884,1,0.555555555555556,-3.92367955551055,0.831778149028107,0.5,-5.23827360797721,0.246472663239723,0.485351933211675
"flagellar.basal.body.rod.protein.FlgG..TIGR02488.",0.0156918766440468,1,0.555555555555556,-4.34592420334322,0.741708459799497,0.375,-3.14568009940296,0.373980807008523,0.458449979622307
"D.tagatose.bisphosphate.aldolase..class.II..non.catalytic.subunit..TIGR02810.",0.0157391705089043,1,0.666666666666667,-5.43334193373736,1.07237447448609,0.5,-3.84944073816542,0.726407957614933,0.603756479363783
"PTS.system..Fru.family..IIB.component..TIGR00829.",0.0160196688032208,1,0.222222222222222,-2.62968997169744,0.420362935006005,0.125,-3.56566683791881,0.758771372962173,0.458955250195703
"bacteriochlorophyll.chlorophyll.synthetase..TIGR01476.",0.0161126182089219,1,0.777777777777778,-3.6210131208077,1.20189135682879,0.875,-6.22456624067688,1e-06,0.602063067581895
"cysteine.desulfurase.family.protein..TIGR01976.",0.0162883105753041,1,0.444444444444444,-5.26796049738546,0.578808695283521,0.5,-4.077766848262,0.527823930466485,0.456736529307494
"pyridoxine.5..phosphate.synthase..TIGR00559.",0.0163589420255566,1,0.333333333333333,-3.17905201547732,0.880094817465541,0.375,-4.44111874261095,0.902573333368675,0.641941885158198
"phosphoheptose.isomerase..TIGR00441.",0.0171805274662582,1,0.333333333333333,-5.04525157274535,0.343704647149031,0.375,-4.06918500422317,0.513632631827015,0.39060000401926
"FGGY.family.pentulose.kinase..TIGR01315.",0.0182855897127217,1,0.666666666666667,-5.49412445718286,1.26558160807324,0.625,-3.78479866433007,0.598313551544519,0.641803536076266
"pyruvate.oxidase..TIGR02720.",0.0184573421166914,1,0.555555555555556,-5.42168347311858,0.943740652656745,0.625,-3.92527741124734,0.558676985953592,0.570835770093071
"glucose.1.phosphate.adenylyltransferase..GlgD.subunit..TIGR02092.",0.0195612984984087,1,0.666666666666667,-5.59432871836006,0.470597498935385,0.5,-4.23114968401999,0.65977658492992,0.484026824053101
"TOMM.system.kinase.cyclase.fusion.protein..TIGR03903.",0.0199680397514771,1,0.555555555555556,-2.61971094736573,0.557753271465866,0.5,-3.92359474790836,0.834777689742104,0.526044121238525
"glycerol.3.phosphate.dehydrogenase..anaerobic..B.subunit..TIGR03378.",0.0205301205407997,1,1,-6.47697236288968,1e-06,0.625,-4.81849187379622,0.600739181788784,0.54978201242048
"SUF.system.FeS.assembly.protein..NifU.family..TIGR01994.",0.0210785317745002,1,0.666666666666667,-4.44502831205579,0.825989938932767,0.75,-6.13380095176852,0.128361502566919,0.521955583457631
"conserved.hypothetical.protein..TIGR02284.",0.0214466335121391,1,0.666666666666667,-3.87991658715515,0.768204155329741,0.75,-5.58515270226622,0.647544292851484,0.535769052711429
"cytidine.deaminase..TIGR01355.",0.0221189437647507,1,0.666666666666667,-5.73861841433449,0.228137534578176,0.625,-4.36510482625206,0.505461736675056,0.44540874264315
"putative.quinone.oxidoreductase..YhdH.YhfP.family..TIGR02823.",0.0235913285446208,1,0.555555555555556,-3.92465322030549,1.03381908518118,0.75,-5.62253943714039,0.594671465339584,0.620443697905017
"cytidylate.kinase..TIGR00017.",0.0238602601680124,1,0.333333333333333,-4.21980830265512,0.854623398286389,0.375,-3.14520430415553,0.529940253936991,0.533984341095739
"putative.colanic.acid.polymerase.WcaD..TIGR04010.",0.0239735738010077,1,0.888888888888889,-3.17011854161189,1e-06,0.625,-5.18425737346441,0.357373378413903,0.481239069834876
"LPXTG.cell.wall.anchor.domain..TIGR01167.",0.0250441216629506,1,0.555555555555556,-2.2793765917833,0.830311486906378,0.5,-3.73828420100754,1.23466460634925,0.718218346545146
"X3.4.dihydroxyphenylacetate.2.3.dioxygenase..TIGR02295.",0.0256621390163988,1,0.555555555555556,-4.94949191990545,0.811310384504937,0.25,-3.76207505454018,0.818411160874491,0.585960688068078
"sodium.dependent.inorganic.phosphate..Pi..transporter..TIGR01013.",0.0258674826948425,1,0.222222222222222,-3.45420793380385,0.586735475412906,0.125,-4.26831712783482,0.466672427711249,0.412937136812444
"photosystem.I.core.protein.PsaB..TIGR01336.",0.0265069805272671,1,0.666666666666667,-2.95468440015008,2.23572477334153,0.375,-4.81605151676894,1.02805326636705,1.12104441937315
"ATP.synthase.F1..gamma.subunit..TIGR01146.",0.0266021854244563,1,0.444444444444444,-2.99327865870919,0.400391757694494,0.25,-4.0596141708094,0.94333555289201,0.548436416844969
